sku,Item Name,item-name-suggested,sales_description,brand,manufacturer,shopify_collection,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,package_length,package_width,package_height,package_weight,dimension_unit,enrichment_comments
260-190-001,AH PLUS,,"AH Plus is a gold-standard, resin-based root canal sealer. It features a 1:1 paste-to-paste mixing system, excellent radiopacity, and dimensionally stable sealing properties. Biocompatible and silver-free, ensuring no tooth discoloration.",Dentsply,Dentsply Sirona,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-110-001,Barbed Broaches Assorted,BARBED BROACHES ASSORTED,VDW Sterile Barbed Broaches (Nervnadeln) are stainless steel instruments with spirally arranged barbs for safe and effective pulp tissue removal. Features a flexible design and color-coded handles for ISO size identification.,VDW Barbed Broaches,Vdw,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-110-003,Barbed Broaches Size 1 (XXXF) White,BARBED BROACHES - 1 / White,VDW Sterile Barbed Broaches (Nervnadeln) are stainless steel instruments with spirally arranged barbs for safe and effective pulp tissue removal. Features a flexible design and color-coded handles for ISO size identification.,VDW Barbed Broaches,Vdw,BARBED BROACHES,Size,1,Color,White,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-110-004,Barbed Broaches Size 2 (XXF) Yellow,BARBED BROACHES - 2 / Yellow,VDW Sterile Barbed Broaches (Nervnadeln) are stainless steel instruments with spirally arranged barbs for safe and effective pulp tissue removal. Features a flexible design and color-coded handles for ISO size identification.,VDW Barbed Broaches,Vdw,BARBED BROACHES,Size,2,Color,Yellow,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-170-002,CANAL LUBRICANT PIPETTES,,Roydent C.L. Canal Lubricant (17% EDTA) facilitates biomechanical preparation of the root canal by chelating calcifications and removing the smear layer. Lubricating action minimizes file binding.,Roydent,Roydent,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-140-001,ENDO STOPS (ASSORTED),,"Silicone Endo Stops are pre-punched, radiopaque rubber stops used on endodontic files to mark the working length.",Dentsply Sirona,Dentsply Sirona,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-140-002,ENDO STOPS (BLACK),ENDO STOPS - Black,"Silicone Endo Stops are pre-punched, radiopaque rubber stops used on endodontic files to mark the working length.",Dentsply Sirona,Dentsply Sirona,ENDO STOPS,Color,Black,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-140-003,ENDO STOPS (BLUE),ENDO STOPS - Blue,"Silicone Endo Stops are pre-punched, radiopaque rubber stops used on endodontic files to mark the working length.",Dentsply Sirona,Dentsply Sirona,ENDO STOPS,Color,Blue,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-140-004,ENDO STOPS (RED),ENDO STOPS - Red,"Silicone Endo Stops are pre-punched, radiopaque rubber stops used on endodontic files to mark the working length.",Dentsply Sirona,Dentsply Sirona,ENDO STOPS,Color,Red,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-140-005,ENDO STOPS (WHITE),ENDO STOPS - White,"Silicone Endo Stops are pre-punched, radiopaque rubber stops used on endodontic files to mark the working length.",Dentsply Sirona,Dentsply Sirona,ENDO STOPS,Color,White,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-120-001,ENDODONTIC SYRINGES-MONOJECT,,"Monoject Endodontic Syringes are sterile, disposable irrigation syringes with a flow-control notched tip needle. Designed to effectively irrigate canals while minimizing apical pressure.",Covidien,Covidien,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-009,GATES GLIDDEN DRILLS(1-6) 32MM,GATES GLIDDEN DRILL - 32mm,Gates Glidden Drills are stainless steel rotary instruments for opening the canal orifice and shaping the coronal third of the canal. Features a safety tip to prevent perforation.,Dentsply,Dentsply,GATES GLIDDEN DRILL,Length,32mm,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-036,K-TYPE HAND FILES PD - #20,K-TYPE HAND FILE PD - 20,PD Dental K-Type Hand Files are high-quality stainless steel instruments with a twisted square cross-section. Designed for superior cutting efficiency and fracture resistance during canal exploration and shaping.,PD Dental,PD Dental,K-TYPE HAND FILE PD,Size,20,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-037,K-TYPE HAND FILES PD - #25,K-TYPE HAND FILE PD - 25,PD Dental K-Type Hand Files are high-quality stainless steel instruments with a twisted square cross-section. Designed for superior cutting efficiency and fracture resistance during canal exploration and shaping.,PD Dental,PD Dental,K-TYPE HAND FILE PD,Size,25,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-038,K-TYPE HAND FILES PD - #30,K-TYPE HAND FILE PD - 30,PD Dental K-Type Hand Files are high-quality stainless steel instruments with a twisted square cross-section. Designed for superior cutting efficiency and fracture resistance during canal exploration and shaping.,PD Dental,PD Dental,K-TYPE HAND FILE PD,Size,30,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-039,K-TYPE HAND FILES PD - #35,K-TYPE HAND FILE PD - 35,PD Dental K-Type Hand Files are high-quality stainless steel instruments with a twisted square cross-section. Designed for superior cutting efficiency and fracture resistance during canal exploration and shaping.,PD Dental,PD Dental,K-TYPE HAND FILE PD,Size,35,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-210-002,LATERAL SPREADER #25,LATERAL SPREADER - 25,"Lateral Spreaders are handheld endodontic instruments with a pointed tip, used for the lateral condensation of gutta-percha cones within the root canal.",Hu-Friedy,Hu-Friedy,LATERAL SPREADER,Size,25,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-210-004,LATERAL SPREADER #30,LATERAL SPREADER - 30,"Lateral Spreaders are handheld endodontic instruments with a pointed tip, used for the lateral condensation of gutta-percha cones within the root canal.",Hu-Friedy,Hu-Friedy,LATERAL SPREADER,Size,30,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-180-001,PAPER POINT SIZE 20,PAPER POINT - 20,Highly absorbent sterilized Paper Points for drying root canals. Color-coded ends for easy size identification.,Coltene,Coltene,PAPER POINT,Size,20,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-180-002,PAPER POINT SIZE 25,PAPER POINT - 25,Highly absorbent sterilized Paper Points for drying root canals. Color-coded ends for easy size identification.,Coltene,Coltene,PAPER POINT,Size,25,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-180-003,PAPER POINT SIZE 30,PAPER POINT - 30,Highly absorbent sterilized Paper Points for drying root canals. Color-coded ends for easy size identification.,Coltene,Coltene,PAPER POINT,Size,30,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-180-004,PAPER POINT SIZE 35,PAPER POINT - 35,Highly absorbent sterilized Paper Points for drying root canals. Color-coded ends for easy size identification.,Coltene,Coltene,PAPER POINT,Size,35,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-180-005,PAPER POINT SIZE 40,PAPER POINT - 40,Highly absorbent sterilized Paper Points for drying root canals. Color-coded ends for easy size identification.,Coltene,Coltene,PAPER POINT,Size,40,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-035,K-FLEX FILES 40-70-25MM,K-FLEX FILE - 40-70 / 25mm,Kerr K-Flex Files feature a unique rhomboid cross-section that provides a short axis for flexibility and a long axis for strength. Ideal for negotiating curved canals.,Kerr,Kerr,K-FLEX FILE,Size,40-70,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-180-006,PAPER POINT SIZE 45-80,PAPER POINT-80 - 45,Highly absorbent sterilized Paper Points for drying root canals. Color-coded ends for easy size identification.,Coltene,Coltene,PAPER POINT-80,Size,45,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-110-002,Barbed Broaches Size 0 (XXXXF) Purple,BARBED BROACHES - 0 / Purple,VDW Sterile Barbed Broaches (Nervnadeln) are stainless steel instruments with spirally arranged barbs for safe and effective pulp tissue removal. Features a flexible design and color-coded handles for ISO size identification.,VDW Barbed Broaches,Vdw,BARBED BROACHES,Size,0,Color,Purple,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-110-005,Barbed Broaches Size 3 (XF) Red,BARBED BROACHES - 3 / Red,VDW Sterile Barbed Broaches (Nervnadeln) are stainless steel instruments with spirally arranged barbs for safe and effective pulp tissue removal. Features a flexible design and color-coded handles for ISO size identification.,VDW Barbed Broaches,Vdw,BARBED BROACHES,Size,3,Color,Red,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-110-006,Barbed Broaches Size 4 (F) Blue,BARBED BROACHES - 4 / Blue,VDW Sterile Barbed Broaches (Nervnadeln) are stainless steel instruments with spirally arranged barbs for safe and effective pulp tissue removal. Features a flexible design and color-coded handles for ISO size identification.,VDW Barbed Broaches,Vdw,BARBED BROACHES,Size,4,Color,Blue,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-110-007,Barbed Broaches Size 5 (M) Green,BARBED BROACHES - 5 / Green,VDW Sterile Barbed Broaches (Nervnadeln) are stainless steel instruments with spirally arranged barbs for safe and effective pulp tissue removal. Features a flexible design and color-coded handles for ISO size identification.,VDW Barbed Broaches,Vdw,BARBED BROACHES,Size,5,Color,Green,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-110-008,Barbed Broaches Size 6 (ST) Black,BARBED BROACHES - 6 / Black,VDW Sterile Barbed Broaches (Nervnadeln) are stainless steel instruments with spirally arranged barbs for safe and effective pulp tissue removal. Features a flexible design and color-coded handles for ISO size identification.,VDW Barbed Broaches,Vdw,BARBED BROACHES,Size,6,Color,Black,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-043,SPIRO COLORINOX SIZE 035 21MM,SPIRO COLORINOX 21mm - 035,Spiro Colorinox files are stainless steel hand instruments for canal enlargement. Features color-coded handles and depth markings.,Dentsply Sirona,Dentsply Sirona,SPIRO COLORINOX 21mm,Size,035,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-006,GATES GLIDDEN DRILLS NO.4,GATES GLIDDEN DRILL,Gates Glidden Drills are stainless steel rotary instruments for opening the canal orifice and shaping the coronal third of the canal. Features a safety tip to prevent perforation.,UnoDent,Unodent,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-008,GATES GLIDDEN DRILLS NO.5,GATES GLIDDEN DRILL,Gates Glidden Drills are stainless steel rotary instruments for opening the canal orifice and shaping the coronal third of the canal. Features a safety tip to prevent perforation.,UnoDent,Unodent,,,,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-160-004,GUTTA PERCHA POINTS COLOR 15,GUTTA PERCHA POINT - 15,Precision-rolled Gutta Percha Points for root canal obturation. Stiff but flexible formulation for ideal workability and excellent radiopacity. Color-coded to ISO standards.,Coltene,Coltene,GUTTA PERCHA POINT,Size,15,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-160-005,GUTTA PERCHA POINTS COLOR 20,GUTTA PERCHA POINT - 20,Precision-rolled Gutta Percha Points for root canal obturation. Stiff but flexible formulation for ideal workability and excellent radiopacity. Color-coded to ISO standards.,Coltene,Coltene,GUTTA PERCHA POINT,Size,20,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-160-006,GUTTA PERCHA POINTS COLOR 25,GUTTA PERCHA POINT - 25,Precision-rolled Gutta Percha Points for root canal obturation. Stiff but flexible formulation for ideal workability and excellent radiopacity. Color-coded to ISO standards.,Coltene,Coltene,GUTTA PERCHA POINT,Size,25,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-160-003,GUTTA PERCHA POINT COLOR 45-80,GUTTA PERCHA POINT-80 - 45-80,Precision-rolled Gutta Percha Points for root canal obturation. Stiff but flexible formulation for ideal workability and excellent radiopacity. Color-coded to ISO standards.,Coltene,Coltene,GUTTA PERCHA POINT-80,Size,45-80,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-160-001,GUTTA PERCHA POINT COLOR 30,GUTTA PERCHA POINT - 30,Precision-rolled Gutta Percha Points for root canal obturation. Stiff but flexible formulation for ideal workability and excellent radiopacity. Color-coded to ISO standards.,Coltene,Coltene,GUTTA PERCHA POINT,Size,30,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-160-002,GUTTA PERCHA POINT COLOR 40,GUTTA PERCHA POINT - 40,Precision-rolled Gutta Percha Points for root canal obturation. Stiff but flexible formulation for ideal workability and excellent radiopacity. Color-coded to ISO standards.,Coltene,Coltene,GUTTA PERCHA POINT,Size,40,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-160-007,GUTTA PERCHA POINTS COLOR 35,GUTTA PERCHA POINT - 35,Precision-rolled Gutta Percha Points for root canal obturation. Stiff but flexible formulation for ideal workability and excellent radiopacity. Color-coded to ISO standards.,Coltene,Coltene,GUTTA PERCHA POINT,Size,35,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-014,HYFLEX  X-FILES #20,HYFLEX X-FILE - 20,HyFlex X-Files are highly efficient hand files with a double-fluted Hedstroem-like cross-section for aggressive cutting during the withdrawal stroke. Designed for rapid debris removal and shaping.,Coltene,Coltene,HYFLEX X-FILE,Size,20,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-017,HYFLEX  X-FILES #25,HYFLEX X-FILE - 25,HyFlex X-Files are highly efficient hand files with a double-fluted Hedstroem-like cross-section for aggressive cutting during the withdrawal stroke. Designed for rapid debris removal and shaping.,Coltene,Coltene,HYFLEX X-FILE,Size,25,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-020,HYFLEX  X-FILES #30,HYFLEX X-FILE - 30,HyFlex X-Files are highly efficient hand files with a double-fluted Hedstroem-like cross-section for aggressive cutting during the withdrawal stroke. Designed for rapid debris removal and shaping.,Coltene,Coltene,HYFLEX X-FILE,Size,30,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-022,HYFLEX  X-FILES #35,HYFLEX X-FILE - 35,HyFlex X-Files are highly efficient hand files with a double-fluted Hedstroem-like cross-section for aggressive cutting during the withdrawal stroke. Designed for rapid debris removal and shaping.,Coltene,Coltene,HYFLEX X-FILE,Size,35,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-024,HYFLEX  X-FILES #40,HYFLEX X-FILE - 40,HyFlex X-Files are highly efficient hand files with a double-fluted Hedstroem-like cross-section for aggressive cutting during the withdrawal stroke. Designed for rapid debris removal and shaping.,Coltene,Coltene,HYFLEX X-FILE,Size,40,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-011,HYFL. X FILE 25MM SIZE 25,HYFL. X FILE - 25 / 25mm,HyFlex X-Files are highly efficient hand files with a double-fluted Hedstroem-like cross-section for aggressive cutting during the withdrawal stroke. Designed for rapid debris removal and shaping.,Coltene,Coltene,HYFL. X FILE,Size,25,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-019,K-FILE READYSTEEL 25MM 006,K-FILE READYSTEEL - 06 / 25mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,06,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-023,K-FILE READYSTEEL 25MM 010,K-FILE READYSTEEL - 10 / 25mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,10,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-021,K-FILE READYSTEEL 25MM 008,K-FILE READYSTEEL - 08 / 25mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,08,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-025,K-FILE READYSTEEL 25MM 015,K-FILE READYSTEEL - 15 / 25mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,15,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-026,K-FILE READYSTEEL 25MM 020,K-FILE READYSTEEL - 20 / 25mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,20,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-028,K-FILE READYSTEEL 25MM 030,K-FILE READYSTEEL - 30 / 25mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,30,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-029,K-FILE READYSTEEL 25MM 035,K-FILE READYSTEEL - 35 / 25mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,35,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-033,K-FILE READYSTEEL 31MM 15-40,K-FILE READYSTEEL - 15-40 / 31mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,15-40,Length,31mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-034,K-FILE READYSTEEL 31MM 45-80,K-FILE READYSTEEL - 45-80 / 31mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,45-80,Length,31mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-027,K-FILE READYSTEEL 25MM 025,K-FILE READYSTEEL - 25 / 25mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,25,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-031,K-FILE READYSTEEL 25MM 40,K-FILE READYSTEEL 40 - 25mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL 40,Length,25mm,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-013,K-FILE READYSTEEL 21MM 15-40,K-FILE READYSTEEL - 15-40 / 21mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,15-40,Length,21mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-015,K-FILE READYSTEEL 21MM 45-80,K-FILE READYSTEEL - 45-80 / 21mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,45-80,Length,21mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-032,K-FILE READYSTEEL 25MM 45-80,K-FILE READYSTEEL - 45-80 / 25mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,45-80,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-030,K-FILE READYSTEEL 25MM 15-40,K-FILE READYSTEEL - 15-40 / 25mm,"Dentsply ReadySteel K-Files are pre-sterilized, stainless steel hand files for root canal negotiation and shaping. Features a square cross-section for superior fracture resistance and cutting efficiency. ISO color-coded handles with silicone stops.",Dentsply Sirona,Dentsply Sirona,K-FILE READYSTEEL,Size,15-40,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-150-040,PTN ASS. X1-X3 3FILES 25MM,PTN ASS.-X3 3FILES - X1 / 25mm,ProTaper Next (PTN) Rotary Files feature patented M-Wire NiTi technology for increased flexibility and cyclic fatigue resistance. The unique off-centered rectangular cross-section creates a 'swaggering' motion for improved debris tracking and canal shaping.,Dentsply Sirona,Dentsply Sirona,PTN ASS.-X3 3FILES,Size,X1,Length,25mm,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-160-008,GUTTA-PERCHA PROTAPER F1,GUTTA-PERCHA PROTAPER - F1,Precision-rolled Gutta Percha Points for root canal obturation. Stiff but flexible formulation for ideal workability and excellent radiopacity. Color-coded to ISO standards.,Coltene,Coltene,GUTTA-PERCHA PROTAPER,Size,F1,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-160-009,GUTTA-PERCHA PROTAPER F2,GUTTA-PERCHA PROTAPER - F2,Precision-rolled Gutta Percha Points for root canal obturation. Stiff but flexible formulation for ideal workability and excellent radiopacity. Color-coded to ISO standards.,Coltene,Coltene,GUTTA-PERCHA PROTAPER,Size,F2,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-160-010,GUTTA-PERCHA PROTAPER F3,GUTTA-PERCHA PROTAPER - F3,Precision-rolled Gutta Percha Points for root canal obturation. Stiff but flexible formulation for ideal workability and excellent radiopacity. Color-coded to ISO standards.,Coltene,Coltene,GUTTA-PERCHA PROTAPER,Size,F3,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-180-007,PROTAPER GOLD PAPER POINT F2,PROTAPER GOLD PAPER POINT - F2,Highly absorbent sterilized Paper Points for drying root canals. Color-coded ends for easy size identification.,Coltene,Coltene,PROTAPER GOLD PAPER POINT,Size,F2,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
260-180-008,PROTAPER GOLD PAPER POINTS F3,PROTAPER GOLD PAPER POINT - F3,Highly absorbent sterilized Paper Points for drying root canals. Color-coded ends for easy size identification.,Coltene,Coltene,PROTAPER GOLD PAPER POINT,Size,F3,,,,,0.00,0.00,0.00,0.00,cm,[GENERATED]
